Latitude:	49°0'24" North, 
Longitude:	8°24'13" East

Results for: 	June

Inclination of plane:	 0	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		Gc		DNI		DNIc
04:22		35		33		28		46		88
04:37		55		49		46		74		142
04:52		76		64		70		106		203
05:07		100		78		97		138		263
05:22		126		93		128		167		318
05:37		152		106		163		194		369
05:52		179		119		199		218		415
06:07		207		132		238		240		457
06:22		236		144		277		260		495
06:37		264		154		318		278		529
06:52		292		165		359		294		561
07:07		319		174		401		309		589
07:22		346		182		442		323		615
07:37		373		190		483		335		639
07:52		398		197		523		346		660
08:07		422		203		562		357		680
08:22		445		208		599		366		697
08:37		467		213		635		374		713
08:52		487		217		669		382		728
09:07		506		220		701		388		741
09:22		524		223		732		395		752
09:37		540		225		759		400		762
09:52		554		227		785		405		771
10:07		567		229		808		409		779
10:22		579		230		828		412		786
10:37		588		231		845		415		792
10:52		597		232		860		418		797
11:07		603		232		872		420		800
11:22		608		232		881		421		803
11:37		611		233		887		422		805
11:52		613		233		890		423		806
12:07		613		233		890		423		806
12:22		611		233		887		422		805
12:37		608		232		881		421		803
12:52		603		232		872		420		800
13:07		597		232		860		418		797
13:22		588		231		845		415		792
13:37		579		230		828		412		786
13:52		567		229		808		409		779
14:07		554		227		785		405		771
14:22		540		225		759		400		762
14:37		524		223		732		395		752
14:52		506		220		701		388		741
15:07		487		217		669		382		728
15:22		467		213		635		374		713
15:37		445		208		599		366		697
15:52		422		203		562		357		680
16:07		398		197		523		346		660
16:22		373		190		483		335		639
16:37		346		182		442		323		615
16:52		319		174		401		309		589
17:07		292		165		359		294		561
17:22		264		154		318		278		529
17:37		236		144		277		260		495
17:52		207		132		238		240		457
18:07		179		119		199		218		415
18:22		152		106		163		194		369
18:37		126		93		128		167		318
18:52		100		78		97		138		263
19:07		76		64		70		106		203
19:22		55		49		46		74		142
19:37		35		33		28		46		88
19:52		18		18		13		0		0

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
Gc: Global clear-sky irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)
DNIc: Clear-sky direct normal irradiance  (W/m2)

PVGIS (c) European Communities, 2001-2012
