Latitude:	49°0'24" North, 
Longitude:	8°24'13" East

Results for: 	May

Inclination of plane:	 0	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		Gc		DNI		DNIc
04:52		44		40		36		59		122
05:07		65		56		59		91		188
05:22		89		71		87		123		254
05:37		114		86		119		153		316
05:52		140		100		154		180		372
06:07		167		113		192		204		422
06:22		194		126		232		226		467
06:37		222		137		273		245		507
06:52		249		148		314		263		543
07:07		276		158		357		279		576
07:22		303		167		399		293		605
07:37		329		176		441		306		632
07:52		353		183		482		317		656
08:07		377		190		522		328		677
08:22		400		196		561		337		697
08:37		421		201		598		346		714
08:52		441		205		634		353		730
09:07		460		209		667		360		744
09:22		477		212		699		366		757
09:37		493		215		728		372		768
09:52		507		217		754		376		778
10:07		520		219		778		381		786
10:22		531		220		799		384		794
10:37		541		221		817		387		800
10:52		549		222		832		390		805
11:07		555		223		845		392		809
11:22		560		223		854		393		812
11:37		563		224		860		394		814
11:52		565		224		863		394		815
12:07		565		224		863		394		815
12:22		563		224		860		394		814
12:37		560		223		854		393		812
12:52		555		223		845		392		809
13:07		549		222		832		390		805
13:22		541		221		817		387		800
13:37		531		220		799		384		794
13:52		520		219		778		381		786
14:07		507		217		754		376		778
14:22		493		215		728		372		768
14:37		477		212		699		366		757
14:52		460		209		667		360		744
15:07		441		205		634		353		730
15:22		421		201		598		346		714
15:37		400		196		561		337		697
15:52		377		190		522		328		677
16:07		353		183		482		317		656
16:22		329		176		441		306		632
16:37		303		167		399		293		605
16:52		276		158		357		279		576
17:07		249		148		314		263		543
17:22		222		137		273		245		507
17:37		194		126		232		226		467
17:52		167		113		192		204		422
18:07		140		100		154		180		372
18:22		114		86		119		153		316
18:37		89		71		87		123		254
18:52		65		56		59		91		188
19:07		44		40		36		59		122
19:22		25		24		19		32		66

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
Gc: Global clear-sky irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)
DNIc: Clear-sky direct normal irradiance  (W/m2)

PVGIS (c) European Communities, 2001-2012
