Latitude:	49°0'24" North, 
Longitude:	8°24'13" East

Results for: 	August

Inclination of plane:	 36	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		Gc		DNI		DNIc
05:22		33		32		28		0		0
05:37		45		45		39		0		0
05:52		60		56		52		140		234
06:07		86		69		84		175		292
06:22		114		82		122		206		345
06:37		146		95		166		234		392
06:52		180		107		213		260		435
07:07		215		119		264		282		473
07:22		251		130		316		303		507
07:37		288		141		370		322		538
07:52		324		151		424		338		566
08:07		360		160		478		353		592
08:22		395		168		531		367		614
08:37		428		175		582		379		635
08:52		461		182		632		390		653
09:07		491		187		679		400		669
09:22		520		193		723		408		684
09:37		546		197		765		416		697
09:52		570		201		803		423		708
10:07		592		204		837		429		718
10:22		611		207		867		434		726
10:37		628		209		894		438		734
10:52		642		211		916		442		739
11:07		653		212		934		444		744
11:22		662		213		948		446		747
11:37		668		214		957		448		750
11:52		671		214		962		448		751
12:07		671		214		962		448		751
12:22		668		214		957		448		750
12:37		662		213		948		446		747
12:52		653		212		934		444		744
13:07		642		211		916		442		739
13:22		628		209		894		438		734
13:37		611		207		867		434		726
13:52		592		204		837		429		718
14:07		570		201		803		423		708
14:22		546		197		765		416		697
14:37		520		193		723		408		684
14:52		491		187		679		400		669
15:07		461		182		632		390		653
15:22		428		175		582		379		635
15:37		395		168		531		367		614
15:52		360		160		478		353		592
16:07		324		151		424		338		566
16:22		288		141		370		322		538
16:37		251		130		316		303		507
16:52		215		119		264		282		473
17:07		180		107		213		260		435
17:22		146		95		166		234		392
17:37		114		82		122		206		345
17:52		86		69		84		175		292
18:07		60		56		52		140		234
18:22		45		45		39		0		0
18:37		33		32		28		0		0
18:52		19		19		17		0		0

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
Gc: Global clear-sky irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)
DNIc: Clear-sky direct normal irradiance  (W/m2)

PVGIS (c) European Communities, 2001-2012
