Latitude:	49°0'24" North, 
Longitude:	8°24'13" East

Results for: 	April

Inclination of plane:	 0	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		Gc		DNI		DNIc
05:37		46		41		38		78		145
05:52		70		57		64		118		222
06:07		96		72		95		158		296
06:22		124		87		131		194		363
06:37		153		100		169		225		421
06:52		182		113		210		252		472
07:07		212		125		252		276		516
07:22		241		136		294		297		556
07:37		270		146		337		315		591
07:52		299		155		379		332		622
08:07		326		163		420		347		649
08:22		352		170		461		360		674
08:37		377		177		500		372		696
08:52		400		182		537		382		715
09:07		422		187		572		391		732
09:22		442		191		605		399		748
09:37		461		195		636		407		761
09:52		477		198		664		413		773
10:07		492		200		689		418		783
10:22		506		202		711		423		792
10:37		517		204		730		427		799
10:52		526		205		747		430		805
11:07		534		206		760		433		810
11:22		540		207		770		434		813
11:37		544		208		776		436		816
11:52		546		208		780		436		817
12:07		546		208		780		436		817
12:22		544		208		776		436		816
12:37		540		207		770		434		813
12:52		534		206		760		433		810
13:07		526		205		747		430		805
13:22		517		204		730		427		799
13:37		506		202		711		423		792
13:52		492		200		689		418		783
14:07		477		198		664		413		773
14:22		461		195		636		407		761
14:37		442		191		605		399		748
14:52		422		187		572		391		732
15:07		400		182		537		382		715
15:22		377		177		500		372		696
15:37		352		170		461		360		674
15:52		326		163		420		347		649
16:07		299		155		379		332		622
16:22		270		146		337		315		591
16:37		241		136		294		297		556
16:52		212		125		252		276		516
17:07		182		113		210		252		472
17:22		153		100		169		225		421
17:37		124		87		131		194		363
17:52		96		72		95		158		296
18:07		70		57		64		118		222
18:22		46		41		38		78		145
18:37		25		24		19		42		78

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
Gc: Global clear-sky irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)
DNIc: Clear-sky direct normal irradiance  (W/m2)

PVGIS (c) European Communities, 2001-2012
