Latitude:	49°0'24" North, 
Longitude:	8°24'13" East

Results for: 	July

Inclination of plane:	 0	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		Gc		DNI		DNIc
04:37		38		35		32		47		88
04:52		58		51		52		76		142
05:07		81		66		77		108		202
05:22		105		81		106		139		259
05:37		131		95		138		167		312
05:52		158		109		173		193		361
06:07		185		122		211		217		405
06:22		213		134		250		239		446
06:37		242		145		290		258		482
06:52		270		156		330		276		516
07:07		298		166		371		292		546
07:22		325		175		412		307		574
07:37		351		183		453		321		599
07:52		377		190		493		333		622
08:07		402		197		531		344		642
08:22		425		203		569		354		661
08:37		448		208		605		363		678
08:52		469		212		639		371		693
09:07		488		216		672		379		707
09:22		506		219		702		385		719
09:37		523		222		730		391		730
09:52		538		224		755		396		740
10:07		551		226		778		401		748
10:22		563		228		799		405		755
10:37		573		229		816		408		761
10:52		582		230		831		410		766
11:07		588		230		843		413		770
11:22		594		231		852		414		773
11:37		597		231		858		415		775
11:52		599		231		861		416		776
12:07		599		231		861		416		776
12:22		597		231		858		415		775
12:37		594		231		852		414		773
12:52		588		230		843		413		770
13:07		582		230		831		410		766
13:22		573		229		816		408		761
13:37		563		228		799		405		755
13:52		551		226		778		401		748
14:07		538		224		755		396		740
14:22		523		222		730		391		730
14:37		506		219		702		385		719
14:52		488		216		672		379		707
15:07		469		212		639		371		693
15:22		448		208		605		363		678
15:37		425		203		569		354		661
15:52		402		197		531		344		642
16:07		377		190		493		333		622
16:22		351		183		453		321		599
16:37		325		175		412		307		574
16:52		298		166		371		292		546
17:07		270		156		330		276		516
17:22		242		145		290		258		482
17:37		213		134		250		239		446
17:52		185		122		211		217		405
18:07		158		109		173		193		361
18:22		131		95		138		167		312
18:37		105		81		106		139		259
18:52		81		66		77		108		202
19:07		58		51		52		76		142
19:22		38		35		32		47		88
19:37		20		20		16		24		45

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
Gc: Global clear-sky irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)
DNIc: Clear-sky direct normal irradiance  (W/m2)

PVGIS (c) European Communities, 2001-2012
