Latitude:	49°0'24" North, 
Longitude:	8°24'13" East

Results for: 	August

Inclination of plane:	 0	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		Gc		DNI		DNIc
05:22		43		38		41		66		110
05:37		64		53		65		103		172
05:52		89		67		94		140		234
06:07		115		80		128		175		292
06:22		143		93		164		206		345
06:37		172		106		202		234		392
06:52		201		117		241		260		435
07:07		230		127		282		282		473
07:22		259		137		323		303		507
07:37		288		146		364		322		538
07:52		316		154		404		338		566
08:07		343		162		444		353		592
08:22		370		168		482		367		614
08:37		395		174		520		379		635
08:52		418		179		555		390		653
09:07		440		183		589		400		669
09:22		461		187		620		408		684
09:37		480		190		649		416		697
09:52		497		193		676		423		708
10:07		513		195		700		429		718
10:22		526		197		721		434		726
10:37		538		199		740		438		734
10:52		548		200		755		442		739
11:07		556		201		768		444		744
11:22		562		202		777		446		747
11:37		566		202		784		448		750
11:52		568		202		787		448		751
12:07		568		202		787		448		751
12:22		566		202		784		448		750
12:37		562		202		777		446		747
12:52		556		201		768		444		744
13:07		548		200		755		442		739
13:22		538		199		740		438		734
13:37		526		197		721		434		726
13:52		513		195		700		429		718
14:07		497		193		676		423		708
14:22		480		190		649		416		697
14:37		461		187		620		408		684
14:52		440		183		589		400		669
15:07		418		179		555		390		653
15:22		395		174		520		379		635
15:37		370		168		482		367		614
15:52		343		162		444		353		592
16:07		316		154		404		338		566
16:22		288		146		364		322		538
16:37		259		137		323		303		507
16:52		230		127		282		282		473
17:07		201		117		241		260		435
17:22		172		106		202		234		392
17:37		143		93		164		206		345
17:52		115		80		128		175		292
18:07		89		67		94		140		234
18:22		64		53		65		103		172
18:37		43		38		41		66		110
18:52		24		22		21		35		58

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
Gc: Global clear-sky irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)
DNIc: Clear-sky direct normal irradiance  (W/m2)

PVGIS (c) European Communities, 2001-2012
