Latitude:	49°0'24" North, 
Longitude:	8°24'13" East

Results for: 	April

Inclination of plane:	 36	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		Gc		DNI		DNIc
05:37		35		35		25		0		0
05:52		50		48		34		118		222
06:07		75		63		65		158		296
06:22		105		78		104		194		363
06:37		138		92		150		225		421
06:52		173		106		201		252		472
07:07		210		119		255		276		516
07:22		247		132		312		297		556
07:37		284		143		369		315		591
07:52		321		154		427		332		622
08:07		358		164		485		347		649
08:22		393		173		542		360		674
08:37		427		181		597		372		696
08:52		459		188		650		382		715
09:07		490		194		701		391		732
09:22		518		200		748		399		748
09:37		544		205		792		407		761
09:52		568		209		833		413		773
10:07		589		212		870		418		783
10:22		608		215		902		423		792
10:37		625		217		930		427		799
10:52		638		219		954		430		805
11:07		649		221		973		433		810
11:22		658		222		988		434		813
11:37		663		222		997		436		816
11:52		666		223		1000		436		817
12:07		666		223		1000		436		817
12:22		663		222		997		436		816
12:37		658		222		988		434		813
12:52		649		221		973		433		810
13:07		638		219		954		430		805
13:22		625		217		930		427		799
13:37		608		215		902		423		792
13:52		589		212		870		418		783
14:07		568		209		833		413		773
14:22		544		205		792		407		761
14:37		518		200		748		399		748
14:52		490		194		701		391		732
15:07		459		188		650		382		715
15:22		427		181		597		372		696
15:37		393		173		542		360		674
15:52		358		164		485		347		649
16:07		321		154		427		332		622
16:22		284		143		369		315		591
16:37		247		132		312		297		556
16:52		210		119		255		276		516
17:07		173		106		201		252		472
17:22		138		92		150		225		421
17:37		105		78		104		194		363
17:52		75		63		65		158		296
18:07		50		48		34		118		222
18:22		35		35		25		0		0
18:37		21		20		15		0		0

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
Gc: Global clear-sky irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)
DNIc: Clear-sky direct normal irradiance  (W/m2)

PVGIS (c) European Communities, 2001-2012
