Latitude:	49°0'24" North, 
Longitude:	8°24'13" East

Results for: 	May

Inclination of plane:	 36	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		Gc		DNI		DNIc
04:52		35		34		25		0		0
05:07		48		48		34		0		0
05:22		61		60		44		0		0
05:37		74		73		53		0		0
05:52		92		83		71		180		372
06:07		119		96		109		204		422
06:22		149		109		153		226		467
06:37		179		121		201		245		507
06:52		211		133		251		263		543
07:07		243		145		304		279		576
07:22		276		155		358		293		605
07:37		308		165		413		306		632
07:52		340		174		468		317		656
08:07		371		182		522		328		677
08:22		401		189		575		337		697
08:37		429		196		626		346		714
08:52		456		201		675		353		730
09:07		482		206		722		360		744
09:22		505		211		766		366		757
09:37		527		214		806		372		768
09:52		547		218		844		376		778
10:07		565		220		878		381		786
10:22		581		222		908		384		794
10:37		594		224		934		387		800
10:52		605		225		956		390		805
11:07		615		226		973		392		809
11:22		621		227		987		393		812
11:37		626		228		995		394		814
11:52		628		228		1000		394		815
12:07		628		228		1000		394		815
12:22		626		228		995		394		814
12:37		621		227		987		393		812
12:52		615		226		973		392		809
13:07		605		225		956		390		805
13:22		594		224		934		387		800
13:37		581		222		908		384		794
13:52		565		220		878		381		786
14:07		547		218		844		376		778
14:22		527		214		806		372		768
14:37		505		211		766		366		757
14:52		482		206		722		360		744
15:07		456		201		675		353		730
15:22		429		196		626		346		714
15:37		401		189		575		337		697
15:52		371		182		522		328		677
16:07		340		174		468		317		656
16:22		308		165		413		306		632
16:37		276		155		358		293		605
16:52		243		145		304		279		576
17:07		211		133		251		263		543
17:22		179		121		201		245		507
17:37		149		109		153		226		467
17:52		119		96		109		204		422
18:07		92		83		71		180		372
18:22		74		73		53		0		0
18:37		61		60		44		0		0
18:52		48		48		34		0		0
19:07		35		34		25		0		0
19:22		21		21		15		0		0

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
Gc: Global clear-sky irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)
DNIc: Clear-sky direct normal irradiance  (W/m2)

PVGIS (c) European Communities, 2001-2012
