Latitude:	49°0'24" North, 
Longitude:	8°24'13" East

Results for: 	June

Inclination of plane:	 36	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		Gc		DNI		DNIc
04:22		29		28		20		0		0
04:37		42		41		30		0		0
04:52		55		54		39		0		0
05:07		68		66		48		0		0
05:22		80		79		57		0		0
05:37		87		84		55		194		369
05:52		113		97		89		218		415
06:07		141		110		129		240		457
06:22		172		122		173		260		495
06:37		203		134		220		278		529
06:52		236		146		269		294		561
07:07		269		156		320		309		589
07:22		302		166		372		323		615
07:37		335		176		425		335		639
07:52		367		184		477		346		660
08:07		398		192		529		357		680
08:22		428		199		579		366		697
08:37		457		205		628		374		713
08:52		485		210		675		382		728
09:07		511		215		720		388		741
09:22		535		219		761		395		752
09:37		557		223		800		400		762
09:52		577		225		836		405		771
10:07		595		228		868		409		779
10:22		611		230		896		412		786
10:37		625		231		921		415		792
10:52		637		233		942		418		797
11:07		646		234		959		420		800
11:22		653		234		971		421		803
11:37		658		235		980		422		805
11:52		660		235		984		423		806
12:07		660		235		984		423		806
12:22		658		235		980		422		805
12:37		653		234		971		421		803
12:52		646		234		959		420		800
13:07		637		233		942		418		797
13:22		625		231		921		415		792
13:37		611		230		896		412		786
13:52		595		228		868		409		779
14:07		577		225		836		405		771
14:22		557		223		800		400		762
14:37		535		219		761		395		752
14:52		511		215		720		388		741
15:07		485		210		675		382		728
15:22		457		205		628		374		713
15:37		428		199		579		366		697
15:52		398		192		529		357		680
16:07		367		184		477		346		660
16:22		335		176		425		335		639
16:37		302		166		372		323		615
16:52		269		156		320		309		589
17:07		236		146		269		294		561
17:22		203		134		220		278		529
17:37		172		122		173		260		495
17:52		141		110		129		240		457
18:07		113		97		89		218		415
18:22		87		84		55		194		369
18:37		80		79		57		0		0
18:52		68		66		48		0		0
19:07		55		54		39		0		0
19:22		42		41		30		0		0
19:37		29		28		20		0		0
19:52		15		15		11		0		0

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
Gc: Global clear-sky irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)
DNIc: Clear-sky direct normal irradiance  (W/m2)

PVGIS (c) European Communities, 2001-2012
