Latitude:	49°0'24" North, 
Longitude:	8°24'13" East

Results for: 	July

Inclination of plane:	 36	 deg.
Orientation (azimuth) of plane:	 0	 deg.
Time		G		Gd		Gc		DNI		DNIc
04:37		31		30		23		0		0
04:52		44		43		33		0		0
05:07		57		56		43		0		0
05:22		70		69		53		0		0
05:37		82		81		62		0		0
05:52		102		90		83		193		361
06:07		129		103		120		217		405
06:22		159		115		162		239		446
06:37		190		128		208		258		482
06:52		223		139		256		276		516
07:07		256		150		307		292		546
07:22		289		161		358		307		574
07:37		322		171		410		321		599
07:52		354		179		463		333		622
08:07		386		188		514		344		642
08:22		417		195		564		354		661
08:37		447		201		613		363		678
08:52		475		207		660		371		693
09:07		501		212		705		379		707
09:22		526		217		747		385		719
09:37		549		221		786		391		730
09:52		569		224		822		396		740
10:07		588		227		854		401		748
10:22		605		229		883		405		755
10:37		619		231		908		408		761
10:52		631		232		929		410		766
11:07		640		233		945		413		770
11:22		648		234		958		414		773
11:37		652		235		967		415		775
11:52		655		235		971		416		776
12:07		655		235		971		416		776
12:22		652		235		967		415		775
12:37		648		234		958		414		773
12:52		640		233		945		413		770
13:07		631		232		929		410		766
13:22		619		231		908		408		761
13:37		605		229		883		405		755
13:52		588		227		854		401		748
14:07		569		224		822		396		740
14:22		549		221		786		391		730
14:37		526		217		747		385		719
14:52		501		212		705		379		707
15:07		475		207		660		371		693
15:22		447		201		613		363		678
15:37		417		195		564		354		661
15:52		386		188		514		344		642
16:07		354		179		463		333		622
16:22		322		171		410		321		599
16:37		289		161		358		307		574
16:52		256		150		307		292		546
17:07		223		139		256		276		516
17:22		190		128		208		258		482
17:37		159		115		162		239		446
17:52		129		103		120		217		405
18:07		102		90		83		193		361
18:22		82		81		62		0		0
18:37		70		69		53		0		0
18:52		57		56		43		0		0
19:07		44		43		33		0		0
19:22		31		30		23		0		0
19:37		17		17		13		0		0

G: Global irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)
Gc: Global clear-sky irradiance on a fixed plane  (W/m2)
DNI: Direct normal irradiance   (W/m2)
DNIc: Clear-sky direct normal irradiance  (W/m2)

PVGIS (c) European Communities, 2001-2012
